agency,name,Date joined,Daily rate,notes
Potters Talent Agency,Earleen Grimaldi,01/04/2013,350,none
Potters Talent Agency,Lisette Cullins,25/02/2014,355,none
Potters Talent Agency,Sudie Islas,21/05/2013,641,none
Geordie Talent Inc,Velia Rud,14/11/2014,589,none
Geordie Talent Inc,Rea Widman,11/09/2014,729,none
Geordie Talent Inc,Tatiana Block,17/04/2014,397,none
Carter-Smith Ltd,Ashly Dankert,13/07/2014,372,none
Carter-Smith Ltd,Florinda Duplessis,30/03/2014,450,none
Carter-Smith Ltd,Nicolette Kalas,15/04/2013,470,vegetarian
A La Mode Modelling,Amee Tillis,06/11/2014,721,none
A La Mode Modelling,Lakesha Menser,09/02/2014,469,none
A La Mode Modelling,Reagan Ater,31/05/2014,394,none
Ponsonby Smythe Talent,Flor Luz,21/09/2013,537,none
Ponsonby Smythe Talent,Lea Angstadt,29/05/2013,462,none
Ponsonby Smythe Talent,Adell Mahurin,16/11/2014,727,none
Cooper Jones Ltd,Lakeshia Vitiello,20/11/2013,378,none
Cooper Jones Ltd,Retta Norling,27/01/2010,591,none
Cooper Jones Ltd,Scottie Baskette,15/09/2014,724,none
The Does,Cheryl Traw,21/09/2014,502,outsize modelling
The Does,Krista Strycker,28/04/2014,607,none
The Does,Golden Warnecke,14/04/2014,569,none
Sheldon Models,Hye Ayer,29/12/2013,741,vegetarian
Sheldon Models,Sheba Alberto,28/05/2013,556,none
Sheldon Models,Valene Iwamoto,20/01/2014,651,none
A Cut Above,Chia Weary,30/01/2010,669,none
A Cut Above,Rosemarie Peach,05/01/2014,740,none
A Cut Above,Tennille Riegel,26/07/2014,458,child model - 6 y/o
Harper Fring Peterson,Enola Spiro,13/04/2013,609,none
Harper Fring Peterson,Irish Donnell,19/05/2014,408,none
Harper Fring Peterson,Leonor Villicana,02/04/2014,700,none
Martin Modelling,Gail Demmer,16/11/2013,601,none
Martin Modelling,Keira Shubert,09/02/2014,455,none
Martin Modelling,Cortney Breazeale,24/10/2014,558,none
Queensbury Rules,Kelsi Marczak,04/02/2014,373,none
Queensbury Rules,Laureen Dooling,17/07/2013,542,none
Queensbury Rules,Stefani Olivarria,15/01/2014,485,none
Notts Talent,Grisel Wineinger,30/09/2013,449,none
Notts Talent,Dione Featherstone,13/05/2013,635,vegetarian
Notts Talent,Krishna Wohlford,23/09/2014,427,none
The Earl Ltd,Laverna Cahalan,12/01/2010,676,none
The Earl Ltd,Maudie Delbosque,10/05/2013,493,none
The Earl Ltd,Kira Margolin,06/11/2013,464,none
Island Models,Anja Boschee,29/01/2014,505,none
Island Models,Mitchell Modeste,14/08/2013,402,none
Island Models,Lauri Menke,10/04/2014,728,none
Ford Modine Talent Agency,Tandy Kimrey,18/01/2014,527,none
Ford Modine Talent Agency,Shayla Armor,28/06/2013,563,none
